PRIM_STATE,OCC_CODE,OCC_TITLE,TOT_EMP,A_MEAN,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
AR,17-2021,Agricultural Engineers,80,"76,420","37,920","54,750","59,990","103,940","146,620"
AR,17-2041,Chemical Engineers,170,"102,710","79,060","81,780","99,020","126,060","130,430"
AR,17-2051,Civil Engineers,"1,710","88,250","50,650","67,400","81,930","100,810","127,730"
AR,17-2061,Computer Hardware Engineers,40,"131,810","85,070","94,310","122,860","158,590","202,050"
AR,17-2071,Electrical Engineers,930,"97,980","65,660","77,570","96,500","112,730","133,330"
AR,17-2072,"Electronics Engineers, Except Computer",260,"101,710","63,150","80,090","100,600","113,510","137,120"
AR,17-2081,Environmental Engineers,260,"91,680","46,380","60,630","84,600","111,070","157,150"
AR,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",150,"88,380","45,790","61,340","86,970","112,860","130,390"
AR,17-2112,Industrial Engineers,"1,640","99,250","69,960","79,040","95,860","114,830","136,050"
AR,17-2131,Materials Engineers,110,"105,280","73,800","93,090","100,330","115,630","145,720"
AR,17-2141,Mechanical Engineers,"1,150","84,370","53,970","65,200","78,570","100,860","122,250"
AR,17-2171,Petroleum Engineers,30,"123,060","80,800","95,640","102,110","150,020","170,580"
AR,17-2199,"Engineers, All Other",580,"82,320","53,280","58,380","75,000","99,990","125,160"
AR,17-3011,Architectural and Civil Drafters,820,"61,200","42,740","52,390","60,390","69,510","77,320"
AR,17-3012,Electrical and Electronics Drafters,30,"62,300","42,100","47,110","61,920","76,180","87,730"
AR,17-3013,Mechanical Drafters,420,"61,900","47,270","54,470","60,620","68,640","74,950"
AR,17-3019,"Drafters, All Other",100,"56,040","37,320","38,990","50,100","73,470","85,840"
AR,17-3021,Aerospace Engineering and Operations Technologists and Technicians,60,*,*,*,*,*,*
AR,17-3022,Civil Engineering Technologists and Technicians,240,"55,770","35,350","38,260","49,620","70,030","76,650"
AR,17-3023,Electrical and Electronic Engineering Technologists and Technicians,410,"70,680","49,400","55,130","70,340","84,270","94,700"
AR,17-3025,Environmental Engineering Technologists and Technicians,230,"46,820","36,930","39,460","43,680","48,420","57,740"
AR,17-3026,Industrial Engineering Technologists and Technicians,330,"68,930","46,340","50,580","59,720","72,070","136,540"
AR,17-3028,Calibration Technologists and Technicians,150,"74,320","53,500","59,800","63,080","107,110","112,980"
AR,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",300,"61,910","37,140","49,000","63,980","72,630","87,050"
AR,17-3031,Surveying and Mapping Technicians,870,"53,380","38,670","41,260","47,580","62,390","77,810"
AR,19-0000,"Life, Physical, and Social Science Occupations","8,000","72,740","39,620","46,850","62,120","84,100","117,820"
AR,19-1012,Food Scientists and Technologists,**,"99,970","46,530","73,000","92,530","132,150","157,550"
AR,19-1013,Soil and Plant Scientists,**,"95,400","41,630","67,050","84,510","132,800","154,450"
AR,19-1021,Biochemists and Biophysicists,100,"109,180","61,430","61,430","143,490","143,490","143,490"
AR,19-1022,Microbiologists,140,"80,590","41,340","48,380","60,710","106,850","146,620"
AR,19-1023,Zoologists and Wildlife Biologists,120,"73,040","61,430","63,890","71,690","77,930","94,310"
AR,19-1029,"Biological Scientists, All Other",370,"76,670","39,910","52,010","74,960","94,310","111,520"
AR,19-1031,Conservation Scientists,180,"75,800","49,000","59,950","72,550","94,310","107,240"
AR,19-1032,Foresters,120,"67,120","45,230","51,540","65,960","77,380","93,370"
AR,19-1042,"Medical Scientists, Except Epidemiologists",250,"75,990","53,880","53,880","64,730","79,170","118,400"
AR,19-2012,Physicists,80,"139,970","104,200","104,200","131,880","165,690","213,030"
